ТГ,drugoigorod,СМИ,43,2017-05-19 7:08,"С ДРУГОЙ СТОРОНЫ  Улица Водников. Дом дореволюционной постройки. Нежно-персиковый фасад, падающая стена, разрушающиеся ""внутренности"". Не знающие, чего ожидать, люди. Мы познакомились с жильцами и узнали, как им живётся за свежевыкрашенной кирпичной стеной.  http://drugoigorod.ru/painted_house/",156,0,0,,0,0,0,0,0.0,0.0
ТГ,drugoigorod,СМИ,493,2017-10-31 7:35,"РАЗРУШИТЕЛИ ЛЕГЕНД   ДГ разобрался, какие компании сейчас получают миллионные подряды на реставрацию памятников архитектуры в Самаре и  подглядел, как эти деньги осваиваются.  https://goo.gl/26j9b2",342,0,0,,0,0,0,0,0.0,0.0
ТГ,news63ru,СМИ,336,2017-12-03 15:44,Если вдруг вы пропустили: в Самаре после реконструкции открыли польский костел. Посмотрите фоторепортаж из обновлённого памятника архитектуры — там очень красиво: https://goo.gl/aEzUH6,321,0,0,,0,0,0,0,0.0,0.0
ВК,tomsawyerfest,Тематический паблик,1306,2018-04-16 10:34:36,"Приглашаем на экскурсию, приуроченную к Дню памятников и исторических мест, в ближайшую субботу, 21 апреля.  Не забывайте регистрироваться.",1531,0,1,10.0,10,0,0,10,,
ВК,Андрей Кочетков,Личные медиа,28293,2018-12-30 15:10:14,"Титры моего года. Часть I. Семья, друзья и ""Том Сойер Фест""    В этом году я задолжал примерно 2018 спасибо. И есть уникальный случай их сказать по пунктам, потому что выпал тот редчайший момент, когда предновогодняя суматоха в моей жизни на удивление отсутствует. Хотя наверняка забуду кого-то очень важного.    1. Этот год я впервые в жизни провёл целиком, будучи папой. И это очень странное ощущение, когда чувства и сухие факты расходятся между собой. Потому что у меня такое внутреннее чувство, будто я им был всегда. При этом взгляд на то, как рядом с тобой растёт и развивается человек дарит очень многое. Другой взгляд на себя, близких, человечество, историю и искусство (особенно “Петя и волк” я теперь слушаю исключительно внимательно).    Спасибо любимой [id85539872|Аля Шарипова] за то, что позволяла быть папой на всю катушку не 100 процентов времени, а выборочно! И нашим родителям за то, что даже давали периодически исчезать с радаров Петра Андреевича вдвоём! Спасибо друзьям, которых очень мало удавалось видеть за год, но всегда чувствовалось, что они где-то рядом! Ну и котам (с оговорками) за то, что воспитывали сына, пока мы его баловали.    2. “Том Сойер Фест” в этом году разросся до таких масштабов, что его понимание полностью перестало умещаться в моей голове (что очень даже хорошо, так как умных и красивых голов в процессе задействовано очень много). И из этого гигантского эксперимента с исторической средой стали рождаться какие-то совершенно новые решения и выводы по её спасению.    Я искренне благодарен каждому из приблизительно двух тысяч человек, приложивших руки, головы и средства к фестивалю в разных городах в этом году.    Но особое спасибо хочу сказать проверенным уже годами казанцам [id1227261|Олеся Балтусова], [id12043644|Дмитрий Полосин], [id4936529|Раушания Полосина] за какую-то невероятную продуктивность и добровольно взваленную ношу подопытных кроликов в сфере работы с объектами культурного наследия; [id15859228|Анна Мельникова] из Бузулука за несгибаемость; [id173888713|Андрей Иванов] из Томска за создание мастерской по деревянной резьбе; [id45435182|Александр Алексеев] из Оренбурга за удивительный талант восстанавливать дома между делом (я тебя в этом году даже ни разу не увидел) и боровчанам [id42623179|Владимир Кобзарь] и [id168092793|Ирина Юрьевна] за создание главного прецедента по приостановлению массового сноса исторических зданий в стране (теперь время крепко подумать). И Саратов, про который можно сказать одно: недаром вас путают с Самарой (мы очень близки). Да ведь [id345677961|Александр Ермишин], [id10315379|Николай Зайченко], [id135291777|Илья Третьяк] и вся честная компания?    Ну и новые люди во всей этой истории не подвели. Особо хочу поблагодарить екатеринбургскую команду и лично [id124515451|Любовь Дегтева] за работу до четырёх утра в преддверие зимы; Елец и лично [id9529793|Серафима Колесникова] за время собирать камни весом до тонны; Вологду и в особенности [id428093|Катя Хоботова] и [id8136359|Елена Смиренникова] (тебе ещё даю пять за Градозащитный съезд) за то, что сделали у себя реставрационный Вудсток; Киров/Вятку и лично [id211134128|Елена Кустова] и [id3704365|Мария Русинова] за 300 вычиненных кирпичей и детей, которых хотя бы ненадолго удалось выдернуть из печальной повседневности; [id173557396|Алексей Молчанов] и [id40534041|Алёна Крутова] из Кимр, [id6143411|Галина Нанана] из Челябинска, [id24170892|Мария Тарасенко], [id325218|Кристина Абрамичева] и Семёну Кучерову из Уфы за то, что умудрились создать команды вокруг территорий, на которых, казалось, всё уже пропало, и прийти к концу сезона с существенным ростом; омичей за какую-то особую сибирскую бодрость и лично [id10693922|Святослав Коновалов] (ты такой один); любимый Нижний и лично [id18191764|Анна Давыдова] за скорость развития, которой остаётся только позавидовать. А также светлого и неугомонного [id1381877|Максим Утёнков] за первое поднятое село. .    Отдельно хочу поблагодарить команду Калуги и в особенности [id183610285|Ольга Небольсина] за то, что несмотря на снос дома не повесили нос, а наоборот пришли к новой фазе разговора о наследии в городе с новым багажом и уровнем аргументации, а также [id328977296|Eji San] за ковровую помощь фестивалю из столицы нашей родины.    Ну и, конечно, моё уважение шлю [id27789258|Святослав Мурунов] и Виталию Стадникову, которые второй год подряд делают Школу “Том Сойер Феста” неожиданной и по-настоящему провокационной. Да и не только Школу, а жизнь многих. В том числе, и меня.    3. А где же здесь Самара и чем для меня был фестиваль здесь в этом году?.. Я очень мало уделял времени самарскому “Том Сойер Фесту” в 2018-м. Преимущественно, во время Чемпионата мира я водил по старой Самаре Илью Варламова, гостей из The Guardian, “Российской газеты”, The New Work Times”, телеканала НТВ и других не менее (или немного менее) громких медиа, открывая наши запылившиеся сокровища стране и миру. А также примерно рабочий день в общей сложности пошкрёб стены и даже ничего не покрасил, выпив на площадке около 13 литров чая. Почему я так раскованно вёл себя в этом году?..    Потому что, во-первых, у нас сложилось невероятное сообщество волонтёров, которое с каждым годом всё прирастает новыми открытиями. Во-вторых, у нас совершенно сказочная координаторская команда с героическими первыми скрипками в лице [id3378279|Екатерина Овчаренко] и [id35015333|Евгений Нектаркин], а также мощной поддержкой от [id14099614|Анастасия Кнор] с воздуха. Ну и было солидное прибавление - [id5173167|Екатерина Ананьева] внесла огромный вклад в координацию кампуса иностранных волонтёров и всё, что творилось вокруг него. За всех этих людей я уверен, что они не продолбают ничего важного. А если что-то продолбают, то это было не важно.    Продолжение следует...",2893,6,4,71.0,71,0,0,71,,
ВК,Андрей Кочетков,Личные медиа,28295,2018-12-30 15:28:21,"Титры моего года. Часть II. Было еще много важного и глубокого    Продолжаю раздавать 2018 спасибо!    4. Ещё в этом году мы делали самый сложный на моей памяти “Метафест” с 2011 года, когда я впервые взялся за его организацию. Было сразу понятно, что всё будет проходить не так, как планировалось. С момента переноса его из-за Чемпионата мира (а потом ещё одного его переноса). Главная цель, которую мы для себя определили на этот год: не убить фирменную фестивальную атмосферу свободы, равенства и братства. А ещё сделать так, чтобы не случилось так, чтобы поляна была вопиюще пустой. В общем, было не до жиру. И выбор в экстремальных организационных условиях в пользу “беречь атмосферу” против “зазывать на фестиваль всех подряд” мне кажется оправданным до сих пор, несмотря на то, что для нас итоги произошедшего вышли непростыми.    Но мы справились благодаря ощущаемому чувству любви нашей преданной аудитории и музыкантов, для которых эта площадка, как ни крути, особенная и ни на что непохожая. Справились благодаря огромному количеству волонтёров, которые, как мне кажется, уже начали становится особой субкультурой. Справились потому что [id7135101|Алексей Есин] вращался в попытках решить всё на свете на поляне и в недрах Российского авторского общества как лопасть промышленного вентилятора, [id5683969|Елена Лукина] умело рулила параллельно с бизнесом и семьёй вопросами питания на “Метафесте”, а [id1488915|Олег Вейс] всегда знал, где достать ещё 30 метров кабеля и кому нужно позвонить, чтобы открылись врата рая.    5. Это был первый за долгое время полный год, когда я не ходил куда-то в одно место на работу. А рассеивал своё производство между разными цехами от редакций до набережной. Ну и столько потратил на кофе во время встреч в разных кофейнях, что, видимо, было дешевле открыть свою. Большую же часть времени я творил дома. И чем более прокачивался в своей активности Пётр Андреевич, тем сложнее становилось это делать (квест на следующий год: как эту проблему решить). В таком формате было работать сложно, потому что деньги в нём являлись периодически, а кормить семейство послушному гражданину нужно в стабильном режиме (ещё один квест на следующий год: более умно тратить и зарабатывать).    Зато мне удалось поработать в совершенно новых для меня командах. И это очень крутой опыт. Потому что все команды были замечательные и никто из коллег не выносил мозг из личной прихоти. Наоборот всех очень волновал результат.    Хочу сказать в этой связи спасибо всему славному коллективу фестиваля набережных “Волгафест”, а в особенности [id2130247|Михаил Савченко], [id3035456|Сергей Кривчиков], [id678164|Нет Нельзя], [id5457689|Николай Кислухин], [id17899869|Ирина Свиридова] и [id11073591|Анна Зубова] за лучший в мире офис в виде второй очереди самарской набережной!    Шлю лучи добра самарской команде радио “Комсомольская правда”, где в этом году я поучаствовал в создании трёх с лишним десятков выпусков программы “Городская среда”, а в особенности [id16789962|Айна Утибаева] (Aina Utibaewa), [id27405602|Антон Черепок], [id536225|Дмитрий Дмитриев] и [id5104804|Вера Цыганкова] .    Было приятно и познавательно стать частью команды проекта “Модерн в облаках”. Воздушные шары - это всегда круто. А когда в них есть особый смысл - это ещё и полезно. Спасибо команде, развивавшей вместе со мной воздухоплавание и сопутствующие услуги, в лице [id6769796|Дмитрий Храмов], [id2959547|Армен Арутюнов], [id14433767|Андрей Чернов], [id4335425|Татьяна Дмитриева], [id57144080|Илья Саморуков] и уже выше упомянутых мной Диман Дмитриев, Коля Кислухин и Лёха Есин! Осталось сделать так, чтобы проект закончился не только в реальности, но и на бумаге (Дед Мороз, пожалуйста!).    А за всю вторую половину года хочу поблагодарить [id2498862|Ира Фишман] и [id103915|Александр Шуткин], с которыми коротали время в мыслях над судьбой наличников и в очень несложных попытках полюбить Сызрань!    6. В этом году я довольно мало для себя шарахался по стране и миру. Но роль молодого отца обязывала к тому. Единственный город, куда я попал не по делу и без семьи - Вильнюс (не смог пройти мимо при цене билета на автобус в 1000 рублей из Калининграда (где я был по делу) и открытом Шенгене). Остальное же время ездил в разные места читать лекции, участвовать в круглых столах, конференциях, проводить воркшопы, а также впервые побывал в Анталии по системе all-inclusive (все мифы про эту штуку - не мифы).    Во-первых, спасибо моим 73-м друзьям надарившим мне на День Рождения денег на поездки по делам “Том Сойер Феста” (уверен, что большинство из вас не дочитали пост до этого места), что дало большую свободу передвижений по важным фестивальным делам (у меня даже ещё немного осталось). И спасибо за возможности побывать не просто так в Туле Марии Воронцовой, в Красноярске и Калининграде Соне Эльтерман и Ольге Полищук, в Рязани Никите Астахову, в Костроме Илье Конжину и [id39193680|Александр Семенихин] , в Уфе [id553675|Александр Старков] и [id166754916|Артур Рахметов], в Калуге [id19840855|Даниил Кузнецов], в Перми [id376118194|Анастасия Кайзер] , в Москве Артёму Демидову, Константину Михайлову, [id98826832|Илья Груздев] и Льву Гордону!  7. А ещё я пытался брать на себя сверху общественную нагрузку, примерив роль зампредседателя самарского реготделения ВООПИиК. Не очень продуктивно, на мой взгляд вышло. Но хочется верить, что всё получится развить.    Спасибо [id472144193|Нина Казачкова] в лице председателя отделения, которая мастерски и мудро ведёт дела по спасению памятников и Артёму Демидову за доверие!    8. Ну и в этом году меня всячески награждали разными медалями, грамотами, тарелкой и включениями в крутые списки. Это было приятно!    Спасибо, что не забываете старика! Я тронут. Отдельный поклон за это Константин Михайлову, [id19332383|Виталий Лейбин], [id16697935|Полина Накрайникова] и Татьяне Мокшиной!    В этих двух постах почти 10 тысяч знаков. Кто дочитал их сначала до конца (уверен, что никто), дайте хотя бы плюсик в комментариях. Это эксперимент.    Простите меня грешного, если кого-то забыл. Люблю вас! С наступающим Новым Годом и Рождеством! Всё ещё будет!",2017,36,0,58.0,58,0,0,58,,
ВК,Андрей Кочетков,Личные медиа,28490,2019-01-23 19:56:02,"В городе Похвистнево Самарской области менее 30 тысяч жителей, а историческая среда начинается, преимущественно, зданиями сталинской эпохи. При этом здесь есть пешеходная улица.  Окружение променада - хрущёвки и современная застройка. Глазу особо зацепиться не за что. При этом даже в 20:30 при 25 градусах мороза здесь есть люди. Больше чем на пешеходной улице в Перми, например.  Один из главных факторов в успешности такого пространства - это то, с чем оно конкурирует. Вокруг пермской пешеходки запредельное количество площадей в больших торговых центрах. И они всасывают жизнь города с улиц. А это, в свою очередь, приводит к тому, что площади в исторических зданиях остаются невостребованными бизнесом. Это один из важных факторов разрушения исторической среды.",1828,9,1,46.0,46,0,0,46,,
ВК,Андрей Кочетков,Личные медиа,28855,2019-03-01 5:21:16,"Мы тут много охаем и ахаем о том, как тонкая пластика и благородная состарившаяся фактура исторических зданий уродуется современными дешёвыми материалами.    А вот в городе Улан-Удэ продавцы этих материалов решили продемонстрировать подобную практику в абсолюте. Тот случай, когда в шутке есть доля шутки.",1917,7,2,48.0,48,0,0,48,,
ВК,Андрей Кочетков,Личные медиа,28882,2019-03-03 15:24:58,Памятник природы Великие галактионовские торосы.,2859,4,1,100.0,100,0,0,100,,
ВК,Андрей Кочетков,Личные медиа,29222,2019-03-23 21:04:11,"Друзья недавно продали хрущёвку на Авроре и купили квартиру в объекте культурного наследия на площади Революции.  Переживают лёгкий культурный шок. Отправили детей в продуктовый магазин за молоком, он оказался разливайкой без молока, несмотря на вывеску ""Продукты"".  Сами пошли за молоком, случайно оказались на органном концерте.",3418,14,2,145.0,145,0,0,145,,
